Subject,Simon Score,Ospan.Recall.Computer,PN.AVG.RT
1286,2.4,54,1500.21
1303,15.1,55,1407.69
1298,18.9,50,1034.6
1288,19.1,48,1539.91
1216,19.47,58,833.28
1252,23.6,44,869.24
1205,26.2,57,823.53
1243,27,46,1100.95
1296,28.9,32,1378.56
1302,31.2,46,1339.27
1281,31.6,40,1272.33
1242,32.8,51,994.87
1292,33.1,43,998.63
1213,34.4,50,1115.57
1301,35.1,44,1166.74
1287,35.2,56,838.16
1291,36.9,51,1233.88
1214,38.1,52,943.02
1207,38.1,42,1232.68
1215,38.28,57,
1297,40.1,54,1121.57
1211,40.2,36,1194.66
1299,40.7,56,978.39
1283,40.9,34,1296
1300,41,43,992.94
1248,42.2,,669.22
1210,43,51,1172.98
1304,45.5,52,1103.68
1246,45.6,42,1068.81
1253,46,,
1290,47.5,33,1435.76
1241,49.6,47,969.02
1280,52.7,48,732.39
1208,54.3,51,814.3
1206,55,52,1300.67
1284,60.8,50,1024.66
1249,62.3,49,1026.71
1204,65.9,52,1010.37
1245,66.4,,1044.48
1218,66.9,56,961.69
1244,68.6,51,834.44
1240,68.9,32,
1294,69.8,49,965.28
1289,76.8,39,1651.6
1251,82.3,,1288.78
1247,85.5,45,1059.02
1282,109.6,53,1001.34
